0;214;0;1;4.167;20190821-1-19-1
0;217;0;1;4.233;20190821-1-19-1
0;223;0;1;4.3;20190821-1-19-1
0;228;0;1;4.367;20190821-1-19-1
0;234;1;1;4.567;20190821-1-19-1
0;245;4;1;4.633;20190821-1-19-1
0;254;24;1;4.7;20190821-1-19-1
0;262;47;1;4.767;20190821-1-19-1
0;258;71;1;4.833;20190821-1-19-1
0;257;86;1;4.9;20190821-1-19-1
0;255;96;1;4.967;20190821-1-19-1
0;253;95;1;5.033;20190821-1-19-1
0;251;89;1;5.1;20190821-1-19-1
0;243;72;1;5.167;20190821-1-19-1
0;227;53;1;5.233;20190821-1-19-1
0;217;33;1;5.3;20190821-1-19-1
0;200;20;1;5.367;20190821-1-19-1
0;179;12;1;5.433;20190821-1-19-1
0;166;7;1;5.5;20190821-1-19-1
0;158;3;1;5.567;20190821-1-19-1
0;152;1;1;5.633;20190821-1-19-1
0;150;0;1;5.7;20190821-1-19-1
0;143;0;1;5.767;20190821-1-19-1
